,instance,total,efficiency,fairness,wellbeing
0,i-054,69904.4,65455.9,12870.4,7941.5
1,i-077,17114.5,16305.1,12376.6,1487.2
2,i-083,15828.3,12949.1,9226.6,3281.3
3,i-100,17916.6,17802.8,14032.2,114.3
4,i-116,18303.5,15261.9,17340.8,3621.6
5,i-126,49607.6,45123.1,7678.3,13073.7
6,i-134,15820.0,15776.0,14171.0,900.0
7,i-164,61539.7,59646.7,13191.2,1911.4
8,i-167,16818.2,16246.7,6580.8,2391.8
9,i-175,34314.7,32685.5,25289.7,1629.2
10,i-185,26839.8,22275.0,10138.0,5426.0
11,i-219,11535.0,11214.2,554.8,1028.8
12,i-235,7694.3,7642.7,5439.3,979.6
13,i-247,21383.0,21318.6,19898.4,861.7
14,i-250,29697.0,29564.1,10775.3,612.9
15,i-263,38049.8,36721.4,6060.9,3611.6
16,i-272,27974.6,27533.3,12000.5,1833.3
17,i-316,11510.3,10541.3,8183.2,1290.6
18,i-360,49530.6,46882.4,6404.2,5204.4
19,i-369,26947.4,24910.3,9179.9,4477.1
20,i-406,26197.6,26097.5,5705.1,2637.0
21,i-414,35982.0,32721.4,12185.6,4261.1
22,i-416,42150.7,41083.3,847.0,1076.6
23,i-446,21768.3,21476.1,8958.0,580.2
