,instance,total,organization,patient,caregiver
0,i-054,69904.4,61962.9,5474.5,2467.0
1,i-077,17114.5,15627.3,1309.4,177.8
2,i-083,15828.3,12547.0,2858.2,423.1
3,i-100,17916.6,17802.3,105.8,8.5
4,i-116,18303.5,14681.9,3621.6,0.0
5,i-126,49607.6,36533.9,7476.5,5597.2
6,i-134,15820.0,14920.0,684.0,216.0
7,i-164,61539.7,59628.3,1893.0,18.4
8,i-167,16818.2,14426.4,2371.5,20.3
9,i-175,34314.7,32685.5,1629.2,0.0
10,i-185,26839.8,21413.8,5424.8,1.2
11,i-219,11535.0,10506.2,1028.8,0.0
12,i-235,7694.3,6714.7,811.6,168.0
13,i-247,21383.0,20521.3,598.4,263.3
14,i-250,29697.0,29084.1,612.9,0.0
15,i-263,38049.8,34438.2,3598.4,13.2
16,i-272,27974.6,26141.3,1833.3,0.0
17,i-316,11510.3,10219.7,969.0,321.6
18,i-360,49530.6,44326.2,5188.2,16.2
19,i-369,26947.4,22470.3,3567.1,910.0
20,i-406,26197.6,23560.6,2396.1,240.9
21,i-414,35982.0,31720.9,3260.6,1000.5
22,i-416,42150.7,41074.1,1067.4,9.2
23,i-446,21768.3,21188.1,580.2,0.0
