,instance,total,efficiency,fairness,wellbeing
0,i-054,90193.2,88375.0,2832.3,13478.1
1,i-077,20821.9,20175.7,9407.2,2233.9
2,i-083,14310.9,13028.3,4493.9,1455.8
3,i-100,17342.1,17273.9,11404.8,68.7
4,i-116,18719.9,15483.5,17744.4,3836.4
5,i-126,66097.7,63926.7,1683.2,17823.4
6,i-134,15934.0,15890.0,14120.0,933.6
7,i-164,73769.5,73360.6,3498.5,1358.5
8,i-167,19685.5,19175.7,2180.2,5530.3
9,i-175,83563.1,81199.5,23578.1,2372.6
10,i-185,47594.3,41954.9,7307.5,5764.4
11,i-219,28132.3,27868.3,238.5,1056.0
12,i-235,5991.2,5846.9,3122.7,1405.1
13,i-247,23429.2,23369.2,19894.0,1946.6
14,i-250,45740.5,45646.7,4010.5,1310.1
15,i-263,75068.1,74781.9,1662.0,2666.8
16,i-272,31964.4,31425.2,7464.6,3770.2
17,i-316,11533.9,10721.0,7931.6,1102.7
18,i-360,77933.0,76717.4,1308.6,4217.4
19,i-369,32182.0,31924.9,6485.1,3979.5
20,i-406,34900.9,34808.8,882.1,3367.1
21,i-414,37019.2,34772.6,8435.6,3346.6
22,i-416,99400.9,98320.1,56.8,3299.6
23,i-446,24781.5,24646.6,7045.7,518.9
