,instance,total,organization,patient,caregiver
0,i-054,258558.7,63621.3,164168.8,30768.6
1,i-077,68160.3,14297.9,50119.8,3742.6
2,i-083,20622.9,10940.9,9218.5,463.5
3,i-100,16276.1,16063.3,178.3,34.5
4,i-116,18460.0,12177.0,6283.0,0.0
5,i-126,172732.0,37285.9,112585.9,22860.2
6,i-134,16834.0,13328.0,3018.0,488.0
7,i-164,311374.3,56290.8,230809.1,24274.4
8,i-167,48520.7,12332.4,36175.0,13.3
9,i-175,341438.4,32970.4,306292.0,2176.0
10,i-185,224962.4,19941.1,204104.8,916.5
11,i-219,75794.2,7740.6,55640.0,12413.6
12,i-235,9525.7,7503.8,1389.2,632.7
13,i-247,24276.9,20291.1,3737.8,248.0
14,i-250,79919.5,26785.7,52985.3,148.5
15,i-263,99141.1,29832.1,43920.0,25389.0
16,i-272,159007.4,32010.3,119608.1,7389.0
17,i-316,18841.8,9383.0,7687.0,1771.8
18,i-360,125490.6,37604.8,71674.8,16211.0
19,i-369,41178.4,26158.4,12464.0,2556.0
20,i-406,47910.3,25364.7,21765.8,779.8
21,i-414,42515.0,30262.9,10519.6,1732.5
22,i-416,1474349.5,25622.3,1410002.8,38724.4
23,i-446,60407.3,19508.1,40814.9,84.3
