,instance,total,organization,patient,caregiver
0,i-054,114741.0,96550.2,562.6,17628.2
1,i-077,30571.8,28711.9,172.8,1687.1
2,i-083,21186.2,20714.0,353.7,118.5
3,i-100,31348.6,31164.6,22.0,162.0
4,i-116,20860.0,18583.0,1669.0,608.0
5,i-126,73883.5,55884.1,919.4,17080.0
6,i-134,17897.6,16411.4,639.0,847.2
7,i-164,80478.1,79292.9,47.6,1137.6
8,i-167,27015.6,22957.5,830.4,3227.7
9,i-175,100860.4,100300.2,396.0,164.2
10,i-185,51300.5,49876.1,1063.8,360.6
11,i-219,26038.8,25998.8,40.0,0.0
12,i-235,12126.7,10485.0,170.5,1471.2
13,i-247,21747.1,21123.4,212.2,411.5
14,i-250,48292.4,48265.3,13.0,14.1
15,i-263,73121.3,70171.3,143.2,2806.8
16,i-272,41291.4,40347.0,694.4,250.0
17,i-316,11238.2,10644.1,493.3,100.8
18,i-360,66244.0,65314.8,631.0,298.2
19,i-369,43507.3,39851.0,979.5,2676.8
20,i-406,40885.5,38764.7,546.0,1574.8
21,i-414,38842.3,37684.3,701.0,457.0
22,i-416,91184.8,88313.6,114.4,2756.8
23,i-446,27087.2,27087.2,0.0,0.0
