,instance,total,efficiency,fairness,wellbeing
0,i-054,69569.8,68510.1,8500.1,2064.2
1,i-077,27865.3,27641.7,18044.0,347.6
2,i-083,19827.2,19456.5,9781.7,412.0
3,i-100,25827.8,25805.8,20646.4,22.0
4,i-116,19670.0,18601.0,18493.0,1869.0
5,i-126,46000.1,44029.0,4375.9,8378.3
6,i-134,16190.5,16146.5,14497.4,900.0
7,i-164,75252.1,75196.1,14432.0,56.0
8,i-167,21603.7,21389.5,10174.2,1093.0
9,i-175,100250.6,99863.6,41847.8,387.0
10,i-185,51144.1,50051.5,17808.1,1092.6
11,i-219,27354.4,27314.4,358.8,40.0
12,i-235,7830.5,7817.9,5734.8,707.7
13,i-247,21188.0,21128.0,19894.0,557.0
14,i-250,46308.7,46296.5,12186.3,12.2
15,i-263,67026.0,66878.0,4638.0,168.0
16,i-272,40176.1,40043.3,22359.0,732.8
17,i-316,12298.7,11201.6,8600.4,1508.1
18,i-360,65649.6,65149.6,4024.0,700.0
19,i-369,29446.7,29047.6,9317.5,2238.1
20,i-406,27912.3,27910.2,3357.1,1239.6
21,i-414,38513.0,37564.4,14054.4,1417.1
22,i-416,82671.6,82494.0,373.2,177.6
23,i-446,26373.8,26373.8,10377.9,0.0
