instance;repetition;cost;consistent;travel_time;total_tardiness;highest_tardiness;total_waiting_time;total_extra_time;max_idle_time;workload_balance;preferences;unscheduled;missed_lunch_break;objective;violations;time;seed
i-116;5;19267;yes;366;3152;605;0;0;14544;0;0;600;0;19267;0;9.44507;4040753107
i-116;7;17393;yes;410;3528;815;0;0;12240;0;0;400;0;17393;0;9.54111;856064766
i-116;2;17628;yes;391;1488;605;0;0;14544;0;0;600;0;17628;0;9.79858;2693852322
i-116;4;17628;yes;391;1488;605;0;0;14544;0;0;600;0;17628;0;9.83632;2704492888
i-116;1;19484;yes;365;3232;815;0;0;14472;0;0;600;0;19484;0;10.4539;35872522
i-116;8;17628;yes;391;1488;605;0;0;14544;0;0;600;0;17628;0;11.0596;1262488930
i-235;0;8292;yes;1190;0;0;120;81;5886;0;15;1000;0;8292;0;16.029;190360812
i-235;8;8691;yes;1084;0;0;108;102;6588;0;9;800;0;8691;0;16.774;2332441439
i-100;3;16699;yes;3759;0;0;714;0;12160;0;66;0;0;16699;0;16.8279;757186755
i-235;7;7527;yes;1182;0;0;124;171;5238;0;12;800;0;7527;0;16.8529;833829364
i-100;0;16239;yes;3510;18;0;90;0;12544;0;77;0;0;16239;0;17.0174;2781202798
i-100;8;20896;yes;3633;0;0;120;0;17088;0;55;0;0;20896;0;17.1353;252298431
i-116;9;19484;yes;365;3232;815;0;0;14472;0;0;600;0;19484;0;17.7781;344636035
i-235;5;7058;yes;1256;142;176;192;306;4374;0;12;600;0;7058;0;18.0424;2449967997
i-235;6;7779;yes;1135;0;0;240;297;5292;0;15;800;0;7779;0;18.0705;3716942567
i-116;6;19267;yes;366;3152;605;0;0;14544;0;0;600;0;19267;0;18.6032;1446502537
i-235;2;6021;yes;1252;15;60;116;294;3672;0;12;600;0;6021;0;18.9163;3801632009
i-116;3;17628;yes;391;1488;605;0;0;14544;0;0;600;0;17628;0;19.555;1287974865
i-116;0;17628;yes;391;1488;605;0;0;14544;0;0;600;0;17628;0;20.3851;4230820567
i-100;9;23024;yes;3219;0;0;294;0;19456;0;55;0;0;23024;0;22.4443;2380380246
i-235;9;8077;yes;1136;0;0;120;126;5886;0;9;800;0;8077;0;24.6296;1582438954
i-100;2;16551;yes;3546;243;0;258;0;12416;0;88;0;0;16551;0;26.2977;4157130129
i-235;4;8836;yes;1188;0;0;86;51;6696;0;15;800;0;8836;0;26.3166;1951046566
i-100;1;16240;yes;3540;0;0;90;0;12544;0;66;0;0;16240;0;27.462;3517376138
i-100;4;17257;yes;3426;93;0;24;5;13632;0;77;0;0;17257;0;28.8832;941914447
i-167;1;24441;yes;5778;72;25;36;35;15438;0;297;2760;0;24441;0;29.2319;4083565098
i-235;1;7950;yes;1185;0;0;4;63;5886;0;12;800;0;7950;0;29.2765;3770031167
i-369;8;29830;yes;14664;1674;792;0;1066;9720;0;294;1620;0;29830;0;29.5779;1679036640
i-369;3;26948;yes;14520;1242;496;144;712;7920;0;294;1620;0;26948;0;30.1543;3836869555
i-100;5;16237;yes;3939;0;0;882;0;11328;0;88;0;0;16237;0;30.1787;1376768032
i-369;9;26599;yes;14904;1846;636;81;996;6624;0;252;1260;0;26599;0;31.001;1637607184
i-100;7;15119;yes;3396;0;0;126;0;11520;0;77;0;0;15119;0;31.1039;2488049427
