instance,repetition,cost,consistent,travel_time,total_tardiness,highest_tardiness,total_waiting_time,total_extra_time,max_idle_time,workload_balance,preferences,unscheduled,missed_lunch_break,objective,violations,time,seed
i-235,6,0,yes,948,78,156,494,0,16308,0,9,2200,0,0,0,0.00186196,2868111517
i-100,6,0,yes,3435,45,0,2772,0,24576,0,88,0,0,0,0,0.000897092,1038017717
i-100,7,0,yes,3639,420,0,2382,0,16512,0,77,0,0,0,0,0.000246363,1646423645
i-219,8,0,yes,13512,18510,291,15110,0,426,0,260,1560,0,0,0,0.0024629,805583583
i-235,7,0,yes,934,0,0,796,0,17064,0,12,2200,0,0,0,0.000700735,718061258
i-100,8,0,yes,3549,54,0,2244,0,17472,0,66,0,0,0,0,0.000998728,433653910
i-219,0,0,yes,13896,12615,344,15890,0,448,0,200,1920,0,0,0,0.00799906,2247895221
i-235,8,0,yes,963,0,0,550,0,17820,0,9,2200,0,0,0,0.000876177,4269292269
i-100,9,0,yes,3639,198,0,1104,0,23040,0,77,0,0,0,0,0.00129262,1283517047
i-219,9,0,yes,14376,10326,299,18770,0,455,0,260,1560,0,0,0,0.00343774,3889711493
i-235,9,0,yes,1014,2,8,464,0,14256,0,9,2000,0,0,0,0.000986403,3801351376
i-235,0,0,yes,866,16,32,516,0,20736,0,6,2000,0,0,0,0.00054099,756736263
i-446,2,0,yes,13347,27885,1512,1387,0,11271,0,0,1680,0,0,0,0.0227837,2635200042
i-235,1,0,yes,896,82,164,1144,0,17064,0,12,2000,0,0,0,0.000735333,3435803184
i-219,1,0,yes,14216,13272,300,17980,0,413,0,240,1320,0,0,0,0.00610473,1744023312
i-235,2,0,yes,903,90,180,698,0,22302,0,12,1800,0,0,0,0.000507843,3359064732
i-235,3,0,yes,934,210,420,328,0,20898,0,6,2200,0,0,0,0.000579591,3543997885
i-235,4,0,yes,921,1,4,766,0,15876,0,12,2000,0,0,0,0.00101158,2784072459
i-219,2,0,yes,14144,16440,314,16000,0,371,0,210,1680,0,0,0,0.004734,4293662375
i-235,5,0,yes,979,0,0,858,0,11286,0,12,1800,0,0,0,0.000709402,2430284829
i-446,3,0,yes,13194,20330,1280,1563,0,12870,0,0,1440,0,0,0,0.0215204,3256371002
i-219,3,0,yes,13360,11730,278,14800,0,414,0,250,1800,0,0,0,0.00493486,4087002820
i-219,4,0,yes,14288,10953,298,17080,0,412,0,250,1440,0,0,0,0.00356082,2645800751
i-446,4,0,yes,12798,23020,1208,1599,0,12324,0,0,1560,0,0,0,0.014259,2606330154
i-219,5,0,yes,13936,16092,327,16220,0,407,0,220,1680,0,0,0,0.00532083,2183567952
i-446,5,0,yes,12501,17500,1524,1880,0,14391,0,0,1800,0,0,0,0.00801787,4010604972
i-219,6,0,yes,13848,13260,288,19420,0,388,0,240,1920,0,0,0,0.00428266,3505740627
i-219,7,0,yes,13872,15984,312,13060,0,465,0,230,1920,0,0,0,0.00297512,1014815689
i-446,6,0,yes,13923,22905,1496,1663,0,11349,0,0,1200,0,0,0,0.0125868,1277310248
i-250,2,0,yes,26928,30440,1176,4405,0,19845,0,68,7360,0,0,0,0.0156696,3769107974
i-446,7,0,yes,13284,30050,1568,1604,0,17667,0,0,1560,0,0,0,0.0391094,2366445803
i-250,3,0,yes,25494,28825,1092,7790,0,18179,0,74,7040,0,0,0,0.0172872,49419755
i-446,8,0,yes,13869,21510,1516,1189,0,15483,0,0,1440,0,0,0,0.0173505,4062277426
i-263,0,0,yes,48504,6125,610,13665,0,5775,0,240,4600,0,0,0,0.170205,2835852185
i-446,9,0,yes,13392,24420,1520,1457,0,13572,0,0,1320,0,0,0,0.0148656,893714500
i-250,4,0,yes,25230,31300,1276,6590,0,22148,0,70,7520,0,0,0,0.0140827,1902363579
i-250,5,0,yes,26178,27280,1084,6550,0,17836,0,78,7040,0,0,0,0.0187802,3055686151
i-250,6,0,yes,26760,30945,1120,6650,0,20090,0,82,6560,0,0,0,0.00996561,638511612
i-250,7,0,yes,27510,27800,1280,7750,0,19453,0,84,6400,0,0,0,0.0111949,3194258572
i-250,8,0,yes,25530,29195,1180,7820,0,20825,0,78,6240,0,0,0,0.0173813,1457673355
i-263,8,0,yes,49280,6308,568,13950,0,6105,0,236,4800,0,0,0,0.34385,1051976284
i-263,1,0,yes,47240,5494,602,13010,0,6060,0,234,4700,0,0,0,0.161018,3917124186
i-250,9,0,yes,27024,30745,1308,8735,0,20482,0,80,7040,0,0,0,0.0198267,3486943930
i-263,9,0,yes,48104,5587,482,13640,0,6900,0,222,4700,0,0,0,0.102381,4042546651
i-100,0,0,yes,3147,0,0,3294,0,26176,0,55,0,0,0,0,0.000429312,1540816189
i-100,1,0,yes,3312,51,0,1476,0,18368,0,55,0,0,0,0,0.00160077,3251313036
i-100,2,0,yes,3579,15,0,1782,0,17920,0,66,0,0,0,0,0.000377619,1130272822
i-100,3,0,yes,3174,123,0,3150,0,22976,0,77,0,0,0,0,0.00146262,2716201262
i-100,4,0,yes,3531,0,0,2478,0,19136,0,66,0,0,0,0,0.000204353,1804123770
i-100,5,0,yes,3309,378,0,4020,0,23296,0,44,0,0,0,0,0.000509824,4075077933
i-134,6,0,yes,296,693,356,0,0,22134,0,0,1280,0,0,0,0.000738308,3561306438
i-134,7,0,yes,294,497,244,0,0,22134,0,0,1440,0,0,0,0.00506226,89294888
i-134,8,0,yes,303,497,244,84,0,22134,0,0,1280,0,0,0,0.000189045,777953895
i-134,9,0,yes,340,497,244,293,0,17697,0,0,1280,0,0,0,0.000338367,1243083288
i-272,0,0,yes,14169,34875,1092,1765,0,29928,0,368,7440,0,0,0,0.0111943,186137216
i-272,1,0,yes,13851,45270,1304,1475,0,26912,0,368,6240,0,0,0,0.00830439,3572263931
i-272,2,0,yes,13668,35532,1060,1390,0,29116,0,352,6720,0,0,0,0.00630346,3467053008
i-263,2,0,yes,49608,6334,598,14150,0,5700,0,242,4300,0,0,0,0.216288,2170209588
i-272,3,0,yes,13398,41112,1272,1409,0,30798,0,448,6840,0,0,0,0.00705037,1287193706
i-272,4,0,yes,13266,38043,1188,1154,0,25114,0,400,7320,0,0,0,0.00756637,692268427
i-272,5,0,yes,13872,45720,1188,1039,0,25926,0,448,6840,0,0,0,0.0151989,3902121269
i-272,6,0,yes,13902,33615,1048,869,0,30682,0,368,6240,0,0,0,0.0112971,1756936107
i-272,7,0,yes,13350,44370,1016,1186,0,26564,0,368,7200,0,0,0,0.00735403,469504163
i-272,8,0,yes,14004,40167,1236,1194,0,27144,0,464,6840,0,0,0,0.0104873,339158402
i-272,9,0,yes,13539,42075,1068,1552,0,29870,0,416,6360,0,0,0,0.00881195,3930804246
i-263,3,0,yes,49792,5885,556,13035,0,7245,0,244,4300,0,0,0,0.201076,3773193431
i-263,4,0,yes,46920,5328,444,14295,0,6945,0,240,4400,0,0,0,0.126413,2369316832
i-263,5,0,yes,48888,7916,530,12235,0,6735,0,232,4400,0,0,0,0.103558,14516000
i-263,6,0,yes,50168,6233,564,11960,0,7170,0,240,4600,0,0,0,0.111153,2701100709
i-263,7,0,yes,49528,6020,552,12690,0,5280,0,244,4200,0,0,0,0.20348,1699787487
i-083,8,0,yes,4294,1584,380,5096,0,7385,0,564,0,0,0,0,18.7217,3792608148
