instance,repetition,cost,consistent,travel_time,total_tardiness,highest_tardiness,total_waiting_time,total_extra_time,max_idle_time,workload_balance,preferences,unscheduled,missed_lunch_break,objective,violations,time,seed
i-100,6,15819,yes,3597,0,0,894,0,11328,0,77,0,0,15819,0,25.4417,2171139598
i-235,6,7922,yes,1128,0,0,66,42,5886,0,15,800,0,7922,0,27.7493,263332674
i-100,7,15698,yes,3456,42,0,18,0,12224,0,66,0,0,15698,0,25.6082,999663412
i-235,7,8181,yes,1144,0,0,70,81,5886,0,9,1000,0,8181,0,27.3003,3064574235
i-446,2,19475,yes,10107,41865,1584,356,0,8892,0,0,120,0,19475,0,55.3562,2241484859
i-077,4,15151,yes,3027,18198,1068,85,91,11748,0,720,200,0,15151,0,60.2171,897092707
i-219,0,10576,yes,9424,22122,346,120,0,432,0,240,600,140,10576,0,61.8256,1094821529
i-219,8,10321,yes,9488,21168,325,70,0,403,0,220,360,0,10321,0,62.6175,3409429619
i-100,8,16270,yes,3672,0,0,54,0,12544,0,88,0,0,16270,0,26.027,829680275
i-235,8,8146,yes,1077,39,52,138,45,5886,0,12,1000,0,8146,0,27.406,2033596266
i-100,9,14904,yes,3372,21,0,12,0,11520,0,99,0,0,14904,0,26.0845,2916809403
i-235,9,8259,yes,1192,124,248,64,117,5886,0,6,1000,0,8259,0,27.6475,3072250708
i-446,3,19519,yes,10575,35720,1516,256,27,8541,0,0,120,0,19519,0,55.4678,2203900596
i-077,5,16692,yes,2822,24972,1552,5,133,13332,0,666,400,0,16692,0,59.7306,4025416077
i-219,1,9553,yes,8504,23481,328,40,0,409,0,280,600,0,9553,0,63.5734,466361262
i-219,9,10181,yes,9360,19128,319,70,8,503,0,280,240,0,10181,0,63.3508,1168291537
i-263,8,35005,yes,26960,10399,560,220,120,5205,0,272,2500,0,35005,0,143.015,1682171036
i-263,0,37547,yes,29904,9298,568,430,48,4665,0,246,2500,0,37547,0,149.839,3140927624
i-369,0,26231,yes,13752,7540,2252,81,1598,9720,0,287,1080,0,26231,0,48.6796,3108230568
i-235,0,8101,yes,1163,4,16,204,48,5886,0,15,800,0,8101,0,28.5944,719655315
i-446,4,19576,yes,11070,38435,1768,277,0,8229,0,0,0,0,19576,0,57.5166,384510525
i-077,0,14189,yes,3044,21630,1692,30,91,10824,0,684,200,0,14189,0,62.6539,1308860668
i-077,6,14979,yes,3033,19470,1304,335,91,11220,0,738,300,0,14979,0,60.712,3630117807
i-235,1,3835,yes,1278,27,108,96,279,1782,0,15,400,0,3835,0,30.4946,27273268
i-219,2,10054,yes,8760,16710,323,50,0,404,0,210,840,0,10054,0,62.2598,1057076114
i-369,1,29537,yes,11800,6115,2068,225,1708,14904,0,196,900,0,29537,0,48.1631,3915278831
i-235,2,5526,yes,1360,196,540,172,840,2754,0,12,400,0,5526,0,29.7189,179652724
i-446,5,19333,yes,9954,34480,1480,199,12,9048,0,0,120,0,19333,0,56.2958,3980203049
i-077,1,16587,yes,2801,25026,1248,80,238,13068,0,720,400,0,16587,0,60.8274,2736790803
i-077,7,14622,yes,3119,18432,1080,5,210,11088,0,702,200,0,14622,0,60.728,378065253
i-235,3,7651,yes,1135,65,256,40,276,5400,0,12,800,0,7651,0,28.6888,1151188220
i-369,2,25272,yes,13168,4136,1768,54,1142,9648,0,245,1260,0,25272,0,47.3583,74836825
i-219,3,9313,yes,8336,24795,288,10,0,367,0,220,600,70,9313,0,62.8382,165627775
i-235,4,13359,yes,1063,54,56,114,96,11286,0,9,800,0,13359,0,28.2889,3534478151
i-446,6,19446,yes,9477,43940,1404,285,45,9399,0,0,240,0,19446,0,55.7601,2302765451
i-263,9,35743,yes,27624,8703,616,455,84,4980,0,266,2600,70,35743,0,144.584,980077795
i-077,2,13422,yes,3545,23148,1124,170,91,9416,0,702,200,0,13422,0,62.0631,606150631
i-369,3,25666,yes,11688,3961,1504,54,1396,11808,0,231,720,0,25666,0,48.6036,3710093725
i-263,1,35483,yes,27328,9905,596,205,90,5460,0,256,2400,140,35483,0,150.334,588715765
i-235,5,5434,yes,1298,331,812,156,1026,2754,0,12,200,0,5434,0,31.1309,3409619445
i-077,8,14272,yes,3110,25626,1016,40,98,10824,0,648,200,0,14272,0,62.0668,1242805017
i-219,4,10017,yes,9184,24618,343,20,16,437,0,210,360,70,10017,0,63.6679,3435568913
i-100,0,15708,yes,3510,0,0,102,0,12096,0,77,0,0,15708,0,27.4534,3898638279
i-446,7,19937,yes,10620,38910,1392,296,9,8892,0,0,120,0,19937,0,56.0591,2017546857
i-100,1,15962,yes,3534,0,0,204,0,12224,0,88,0,0,15962,0,27.1338,3734480660
i-369,4,25147,yes,12800,5611,2020,63,1844,10080,0,294,360,0,25147,0,51.1611,2195566961
i-077,3,14851,yes,2929,21486,1672,10,84,11528,0,756,300,0,14851,0,61.8392,3873258355
i-077,9,15648,yes,2694,18378,1516,30,84,12540,0,684,300,0,15648,0,60.6066,727639129
i-100,2,16179,yes,3825,0,0,1026,0,11328,0,77,0,0,16179,0,27.5419,1179577524
i-219,5,9758,yes,8968,17667,304,50,0,380,0,290,360,0,9758,0,63.4917,178616174
i-446,8,19260,yes,9621,35515,1896,315,39,9165,0,0,120,0,19260,0,55.8948,3473529119
