instance,repetition,cost,consistent,travel_time,total_tardiness,highest_tardiness,total_waiting_time,total_extra_time,max_idle_time,workload_balance,preferences,unscheduled,missed_lunch_break,objective,violations,time,seed
i-100,6,11328,yes,3744,0,0,2202,0,11328,0,77,0,0,11328,0,20.7849,159051813
i-235,6,2794,yes,1411,12,28,106,828,2754,0,15,400,0,2794,0,28.369,3017699026
i-100,7,11328,yes,3822,0,0,1776,0,11328,0,55,0,0,11328,0,21.6333,2815419207
i-219,8,237,yes,16584,0,0,11030,0,237,0,200,840,0,237,0,53.1134,2074065439
i-219,0,236,yes,17088,0,0,6970,0,236,0,290,720,0,236,0,54.5366,3011201492
i-446,2,6903,yes,16758,50,28,883,0,6825,0,0,360,0,6903,0,55.9269,1763019380
i-235,7,2668,yes,1239,60,124,226,690,2484,0,12,400,0,2668,0,28.25,2574493123
i-077,4,9768,yes,3743,0,0,5745,399,9768,0,540,1000,0,9768,0,61.0855,2037798533
i-100,8,11328,yes,3855,0,0,2346,0,11328,0,77,0,0,11328,0,21.5585,2524957051
i-100,9,11520,yes,3723,0,0,1722,0,11520,0,66,0,0,11520,0,21.2239,578015989
i-235,8,3466,yes,1399,88,192,116,903,3186,0,12,400,0,3466,0,28.6123,3686704873
i-219,9,240,yes,16160,0,0,10540,0,240,0,290,840,0,240,0,52.8444,1360715138
i-219,1,238,yes,16464,0,0,12240,0,238,0,250,720,0,238,0,52.2527,2684008102
i-446,3,7204,yes,16047,85,60,1215,0,7059,0,0,480,0,7204,0,55.8875,715364567
i-235,9,2799,yes,1313,9,36,152,699,2754,0,12,400,0,2799,0,28.4535,3282042443
i-077,5,9240,yes,3784,0,0,4940,462,9240,0,612,1000,0,9240,0,59.4619,3233383760
i-369,0,6480,yes,19040,0,0,2898,1204,6480,0,259,2520,0,6480,0,47.9002,1576355188
i-235,0,2854,yes,1314,20,80,222,690,2754,0,15,400,0,2854,0,28.5152,1262810393
i-219,2,239,yes,16088,0,0,10400,0,239,0,240,720,0,239,0,53.1761,1882427700
i-263,0,1650,yes,63464,0,0,6475,846,1650,0,288,1500,0,1650,0,159.958,672539295
i-263,8,1605,yes,64336,0,0,7210,666,1605,0,292,1600,0,1605,0,160.727,2836762988
i-235,1,3079,yes,1379,113,212,130,999,2754,0,15,400,0,3079,0,29.0479,2891462509
i-446,4,6903,yes,16461,0,0,1045,0,6903,0,0,240,0,6903,0,55.7667,1277272190
i-077,0,9240,yes,3807,0,0,5760,791,9240,0,576,1000,0,9240,0,59.2873,1519574191
i-369,1,6531,yes,19088,11,40,2340,1412,6480,0,231,2520,0,6531,0,48.1035,1056551701
i-077,6,9064,yes,3993,0,0,3805,686,9064,0,738,1000,0,9064,0,61.0731,1910378735
i-235,2,3533,yes,1449,7,16,330,810,3510,0,9,600,0,3533,0,28.0463,3468029615
