instance,repetition,cost,consistent,travel_time,total_tardiness,highest_tardiness,total_waiting_time,total_extra_time,max_idle_time,workload_balance,preferences,unscheduled,missed_lunch_break,objective,violations,time,seed
i-100,6,16311,yes,3381,0,0,66,0,12864,0,66,0,0,16311,0,26.5611,3769864163
i-235,6,4601,yes,1363,278,392,106,1461,3132,0,12,200,0,4601,0,28.7895,3533646526
i-446,2,19736,yes,10125,24485,1168,329,0,9282,0,0,840,0,19736,0,53.147,29914042
i-219,0,7446,yes,6816,75066,727,30,17968,600,0,210,2400,700,7446,0,53.3265,3454164253
i-100,7,16007,yes,3309,0,0,474,0,12224,0,77,0,0,16007,0,26.9669,3040362382
i-219,8,7866,yes,7176,54717,534,90,12200,600,0,190,2400,490,7866,0,55.162,1658951976
i-235,7,4013,yes,1205,53,212,54,564,2754,0,12,400,0,4013,0,29.1074,1774115104
i-077,4,14529,yes,2629,55506,1804,20,4221,11880,0,576,1100,0,14529,0,59.9445,2416697577
i-100,8,15886,yes,3288,3,0,54,0,12544,0,66,0,0,15886,0,26.7625,3050468537
i-235,8,12143,yes,853,0,0,4,0,11286,0,12,1800,0,12143,0,25.2459,312759867
i-446,3,19255,yes,9504,32640,1808,313,0,9438,0,0,840,0,19255,0,53.5676,2466738863
i-100,9,15765,yes,3663,312,0,582,150,11520,0,110,0,0,15765,0,27.2393,1298540961
i-219,1,7888,yes,7248,70608,759,40,16960,600,0,210,2400,420,7888,0,55.8626,2582259943
i-219,9,7758,yes,7128,48333,562,30,12872,600,0,220,2400,420,7758,0,55.0694,2139046455
i-235,9,4913,yes,1287,156,324,278,816,3348,0,12,400,0,4913,0,28.771,972181530
i-077,5,14311,yes,2685,44070,1640,10,4221,11616,0,558,1000,0,14311,0,60.3516,1149057945
i-263,0,29407,yes,22272,34196,1378,145,24804,6990,0,236,4800,210,29407,0,133.781,2691352050
i-263,8,29579,yes,22864,36485,1234,145,22698,6570,0,240,4800,210,29579,0,133.846,1349371021
i-235,0,4587,yes,1289,405,692,220,840,3078,0,12,400,0,4587,0,28.9154,1079228844
i-369,0,28372,yes,11704,6866,2036,36,2878,16632,0,231,2700,80,28372,0,45.4651,71927638
i-446,4,19808,yes,9801,39695,1796,179,159,9828,0,0,960,0,19808,0,53.6385,846142267
i-219,2,8176,yes,7416,26847,563,160,5296,600,0,190,2400,350,8176,0,55.9129,4142862445
i-235,1,4535,yes,1375,410,460,136,939,3024,0,15,400,0,4535,0,28.8863,4097293026
i-077,0,14647,yes,2830,50334,2152,25,4438,11792,0,558,1200,0,14647,0,58.2195,3138962814
i-077,6,13060,yes,3076,42624,1836,40,3143,9944,0,738,900,0,13060,0,60.1255,197720106
i-235,2,12131,yes,845,0,0,0,219,11286,0,12,1800,0,12131,0,24.7531,3089149867
i-369,1,26545,yes,11416,8630,2284,9,2870,15120,0,259,2160,0,26545,0,45.5429,3920319898
i-446,5,19588,yes,9576,38285,1588,379,228,9633,0,0,600,0,19588,0,54.6357,68797394
i-235,3,12131,yes,845,0,0,0,183,11286,0,12,1800,0,12131,0,25.036,3520815604
i-219,3,7160,yes,6480,68430,875,80,14864,600,0,180,2400,560,7160,0,55.4684,958234283
i-077,1,14035,yes,2727,41754,1868,0,3423,11308,0,612,900,0,14035,0,60.1955,112034225
i-077,7,15512,yes,2434,52092,1472,10,4186,13068,0,648,1200,0,15512,0,59.2294,2568842262
i-235,4,12131,yes,845,0,0,0,219,11286,0,12,1800,0,12131,0,25.1432,538503709
i-369,2,26318,yes,11504,7866,3040,54,2952,14760,0,273,2160,0,26318,0,46.1962,2463772862
i-263,1,29938,yes,20808,41390,1882,130,28026,9000,0,238,4800,980,29938,0,129.874,604667565
i-263,9,29633,yes,22528,38014,1624,130,23946,6975,0,236,4700,420,29633,0,133.099,3944703794
i-446,6,19696,yes,9783,42665,1984,241,72,9672,0,0,960,0,19696,0,55.0899,2174520652
i-235,5,3853,yes,1365,374,816,166,1086,2322,0,9,200,0,3853,0,29.8897,3370402029
i-219,4,7748,yes,7128,29169,438,20,4808,600,0,190,2400,420,7748,0,56.053,452001549
i-077,2,13608,yes,2901,44928,1724,15,3199,10692,0,684,800,0,13608,0,59.1212,391916027
i-369,3,26528,yes,10976,7730,2212,0,2372,15552,0,231,2520,0,26528,0,45.9476,9885458
i-100,0,16136,yes,3630,0,0,282,0,12224,0,77,0,0,16136,0,26.7029,1734909046
i-077,8,13053,yes,3089,38868,2232,20,2709,9944,0,648,900,0,13053,0,60.4096,3331151636
i-369,4,25536,yes,10920,6880,2480,216,1948,14400,0,266,2520,0,25536,0,45.4847,631912435
i-100,1,16237,yes,3615,276,0,462,170,12160,0,77,0,0,16237,0,26.4155,3209888855
i-446,7,19220,yes,9036,45940,1952,239,45,9945,0,0,1080,0,19220,0,53.8787,339500900
i-219,5,7714,yes,7104,51717,616,10,11600,600,0,230,2400,490,7714,0,55.9842,1536560239
i-077,3,15529,yes,2421,54528,1740,40,4410,13068,0,594,1400,0,15529,0,57.3394,1712471657
i-100,2,16216,yes,3522,99,0,726,0,11968,0,88,0,0,16216,0,28.0502,1730294314
i-077,9,14695,yes,2663,41286,1804,20,3416,12012,0,720,1200,60,14695,0,58.7794,2265180594
i-369,5,21299,yes,12272,3607,1652,27,1118,9000,0,273,1980,0,21299,0,47.8154,2448574880
i-100,3,16128,yes,3486,171,0,546,25,12096,0,77,0,0,16128,0,26.4683,4024962903
i-446,8,19156,yes,9324,43435,1524,199,72,9633,0,0,720,0,19156,0,54.6345,3063848389
i-219,6,7922,yes,7312,55566,655,10,13504,600,0,240,2400,560,7922,0,55.5383,2425563621
i-250,2,26766,yes,13428,43900,1380,10,42,13328,0,68,5600,0,26766,0,99.8381,2121297044
i-263,2,30542,yes,21272,36519,1826,270,25704,9000,0,234,4800,840,30542,0,129.443,566695112
i-083,0,9677,yes,5370,1887,568,72,218,4235,0,576,0,0,9677,0,51.7292,1375541765
i-100,4,15066,yes,3498,0,0,48,0,11520,0,77,0,0,15066,0,26.7629,827292736
i-369,6,27425,yes,10640,8759,2740,9,2908,16776,0,238,2340,0,27425,0,46.1455,4112942673
