instance,repetition,cost,consistent,travel_time,total_tardiness,highest_tardiness,total_waiting_time,total_extra_time,max_idle_time,workload_balance,preferences,unscheduled,missed_lunch_break,objective,violations,time,seed
i-446,2,0,yes,14301,0,0,1055,0,9906,0,0,0,0,0,0,5.52911,225089577
i-446,3,0,yes,14823,0,0,1110,0,12597,0,0,0,0,0,0,3.11508,2834728551
i-446,4,0,yes,15354,0,0,1122,0,10569,0,0,0,0,0,0,6.34398,1472151836
i-100,6,22,yes,3651,0,0,1404,270,31616,0,22,0,80,22,0,17.25,1166186594
i-446,5,0,yes,15624,0,0,1243,0,9867,0,0,0,0,0,0,7.29584,2519702114
i-446,6,0,yes,14841,0,0,1197,0,10998,0,0,0,0,0,0,8.0036,3123997717
i-235,6,209,yes,1220,0,0,760,1437,8802,0,9,200,0,209,0,31.7796,2356068875
i-100,7,22,yes,3597,0,0,2250,210,27584,0,22,0,80,22,0,16.9905,2906395817
i-446,7,0,yes,15228,0,0,973,0,10413,0,0,0,0,0,0,11.1756,966866034
i-446,8,0,yes,15138,0,0,1178,0,11466,0,0,0,0,0,0,5.48143,2245382533
i-100,8,22,yes,3849,0,0,1512,10,18560,0,22,0,0,22,0,16.7282,210476638
i-446,9,0,yes,14670,0,0,1004,0,13650,0,0,0,0,0,0,4.77636,4158070671
i-235,7,113,yes,1260,34,64,620,1557,9504,0,15,0,0,113,0,32.084,3646886098
i-100,9,22,yes,3285,0,0,1140,0,24768,0,22,0,80,22,0,16.3502,780717768
i-077,4,180,yes,3591,0,0,5365,1568,17248,0,180,0,0,180,0,71.1252,1848237396
i-219,8,40,yes,15928,0,0,12010,0,408,0,40,0,0,40,0,72.2292,3064690319
i-219,0,40,yes,15840,0,0,8340,0,379,0,40,0,0,40,0,72.8395,2911551672
i-235,8,212,yes,1264,0,0,582,1446,10044,0,12,200,0,212,0,31.3365,4062713404
i-369,4,1188,yes,18416,465,244,6570,2798,15552,0,119,360,0,1188,0,57.2767,411463678
i-369,0,932,yes,18624,106,104,3825,2644,14688,0,182,540,0,932,0,56.5039,3174990618
i-235,9,209,yes,1276,0,0,590,1326,9990,0,9,200,0,209,0,32.0891,867594204
i-077,5,198,yes,3578,0,0,6330,1876,17776,0,198,0,0,198,0,71.7481,127071957
i-219,1,40,yes,15608,0,0,8920,0,363,0,40,0,0,40,0,71.9445,2509137446
i-219,9,40,yes,15536,0,0,7750,0,377,0,40,0,0,40,0,73.4133,1420651521
i-369,5,974,yes,18136,156,124,3960,2538,18360,0,154,540,0,974,0,57.3235,300443603
i-235,0,63,yes,1306,12,36,340,1338,5832,0,15,0,0,63,0,31.9607,1299175293
i-369,1,1058,yes,18544,236,156,3987,2608,15624,0,126,540,80,1058,0,57.3251,18946492
i-263,0,144,yes,56040,0,0,7045,3000,5235,0,144,0,0,144,0,199.371,3693984440
i-077,0,180,yes,3473,0,0,5870,1722,20680,0,180,0,0,180,0,72.4704,2983758906
i-263,8,152,yes,56776,0,0,10115,3126,5250,0,152,0,0,152,0,202.019,2340653518
i-235,1,209,yes,1380,0,0,764,1968,9882,0,9,200,0,209,0,32.3488,2519263036
i-077,6,180,yes,3698,0,0,5590,2023,18392,0,180,0,0,180,0,72.8455,1929621289
i-219,2,40,yes,15840,0,0,9840,0,325,0,40,0,0,40,0,73.5527,147968673
i-369,6,839,yes,18552,211,156,4284,2558,17496,0,112,360,0,839,0,57.9541,4240249271
i-369,2,931,yes,18984,237,180,4950,2730,16344,0,154,360,80,931,0,57.674,547999806
i-235,2,57,yes,1322,14,28,392,1428,5886,0,15,0,0,57,0,32.0479,2862622892
i-077,1,180,yes,3497,0,0,5890,1197,19140,0,180,0,0,180,0,72.1313,1285605244
i-235,3,209,yes,1337,0,0,656,1533,9612,0,9,200,0,209,0,31.7613,3749060311
i-369,7,897,yes,18664,256,176,6678,2862,22320,0,105,360,0,897,0,57.4506,1427967340
i-077,7,162,yes,3448,0,0,6685,1645,19668,0,162,0,60,162,0,71.3395,2193038515
i-219,3,40,yes,15808,0,0,9940,0,371,0,40,0,0,40,0,72.706,2080109624
i-369,3,827,yes,18920,184,136,5031,2656,12960,0,147,360,0,827,0,58.4458,559875352
i-235,4,212,yes,1250,0,0,480,1104,6534,0,12,200,0,212,0,31.3682,4207466737
i-235,5,212,yes,1343,0,0,740,1575,9882,0,12,200,0,212,0,31.6299,1539111537
i-369,8,1028,yes,18208,213,156,4626,2436,13104,0,119,540,0,1028,0,57.9115,3603081575
i-077,2,144,yes,3598,0,0,5435,1897,18788,0,144,0,0,144,0,73.1902,58984055
i-077,8,162,yes,3564,0,0,4630,1421,22792,0,162,0,0,162,0,71.3486,909660240
i-219,4,40,yes,16040,0,0,10190,0,355,0,40,0,0,40,0,72.3181,1347617495
i-083,0,408,yes,4612,72,48,6248,92,9870,0,288,0,0,408,0,60.252,887863450
i-369,9,1121,yes,18144,407,228,5751,2778,17208,0,126,360,0,1121,0,57.8476,1849853942
i-263,1,132,yes,57120,0,0,9420,3222,5370,0,132,0,0,132,0,205.323,2590117201
i-263,9,142,yes,56272,0,0,8770,2958,4425,0,142,0,0,142,0,209.085,3740867582
i-077,3,180,yes,3541,0,0,6645,1505,17952,0,180,0,0,180,0,71.0313,2516013315
i-100,0,22,yes,3348,0,0,1302,0,24768,0,22,0,80,22,0,16.625,576746133
i-250,2,20,yes,30678,0,0,1940,45,15386,0,20,0,0,20,0,131.634,80708215
i-077,9,162,yes,3456,0,0,6735,1897,20064,0,162,0,60,162,0,72.2753,663418973
i-219,5,40,yes,15600,0,0,9120,0,420,0,40,0,0,40,0,72.8719,2657132067
i-446,0,0,yes,15417,0,0,1073,0,10647,0,0,0,0,0,0,5.69558,3896516839
i-446,1,0,yes,14877,0,0,1054,0,9477,0,0,0,0,0,0,2.43171,2869722291
i-100,1,22,yes,3387,0,0,1554,260,29568,0,22,0,80,22,0,16.5225,883325578
i-134,6,639,yes,472,119,40,469,664,14280,0,0,480,0,639,0,9.02907,605015569
i-134,7,639,yes,498,119,40,476,664,14076,0,0,480,0,639,0,9.10245,3727490991
i-083,1,427,yes,4636,99,40,4400,122,9275,0,288,0,0,427,0,60.3193,1916052480
i-100,2,22,yes,3393,0,0,3564,80,25216,0,22,0,160,22,0,16.4589,3185194342
i-134,8,639,yes,475,119,40,460,608,14076,0,0,480,0,639,0,9.05192,2820495714
i-134,9,639,yes,498,119,40,476,664,14076,0,0,480,0,639,0,8.80019,1472462436
i-100,3,22,yes,3429,0,0,888,0,33792,0,22,0,80,22,0,16.0598,2765625856
i-083,8,312,yes,4704,0,0,5256,42,9660,0,312,0,0,312,0,60.8862,198659222
i-100,4,22,yes,3636,0,0,2574,80,20800,0,22,0,0,22,0,16.4697,599722635
i-219,6,40,yes,15864,0,0,11070,0,419,0,40,0,0,40,0,73.2799,1214854663
i-100,5,22,yes,3303,0,0,3108,70,20800,0,22,0,0,22,0,16.6823,963265913
i-083,2,312,yes,4588,0,0,5896,100,10535,0,312,0,0,312,0,61.5382,1908683855
i-250,0,12,yes,30960,0,0,3200,0,12446,0,12,0,0,12,0,134.507,2556721446
i-083,9,346,yes,4542,6,4,3160,87,18340,0,336,0,70,346,0,60.5163,3612866766
i-134,0,639,yes,467,119,40,588,1312,18666,0,0,480,0,639,0,8.60216,4132594871
i-134,1,639,yes,470,119,40,585,1312,18513,0,0,480,0,639,0,8.56198,3644222072
i-250,3,12,yes,30426,0,0,2670,0,12299,0,12,0,0,12,0,134.366,2693996501
i-134,2,639,yes,472,119,40,469,664,14280,0,0,480,0,639,0,8.77404,1722368128
i-134,3,639,yes,498,119,40,476,664,14076,0,0,480,0,639,0,8.62127,2951251838
i-134,4,639,yes,456,119,40,479,608,14739,0,0,480,0,639,0,8.66755,1711007172
i-083,3,475,yes,4418,99,76,6056,76,11025,0,300,0,70,475,0,61.9555,1856694101
i-219,7,40,yes,14904,0,0,12030,0,393,0,40,0,0,40,0,74.3903,1137744550
i-134,5,639,yes,490,119,40,565,1312,17493,0,0,480,0,639,0,8.53239,1377859379
i-272,0,744,yes,16092,0,0,989,660,25172,0,144,600,0,744,0,119.732,101892022
i-263,2,138,yes,56248,0,0,8480,2622,4560,0,138,0,0,138,0,198.2,3166215368
i-272,4,640,yes,16590,0,0,828,230,19256,0,160,480,0,640,0,122.996,349119278
i-083,4,298,yes,4552,6,4,3616,154,14525,0,288,0,70,298,0,60.8196,1275422670
i-250,1,14,yes,31224,0,0,2085,12,11368,0,14,0,0,14,0,129.622,1244570523
i-406,0,560,yes,27688,0,0,654,1628,18350,0,0,560,0,560,0,72.5874,3512739228
i-250,4,12,yes,30234,0,0,2820,0,12642,0,12,0,0,12,0,133.243,145051322
i-083,5,276,yes,4394,0,0,7416,97,8785,0,276,0,70,276,0,60.7375,272787722
i-272,1,608,yes,15888,0,0,939,640,19140,0,128,480,0,608,0,117.395,295319452
i-126,2,1075,yes,42510,0,0,7080,17372,10387,0,595,480,0,1075,0,143.054,486143365
i-406,1,560,yes,27960,0,0,579,1632,8300,0,0,560,0,560,0,71.5837,1930765700
i-406,8,700,yes,28360,0,0,414,1593,8300,0,0,700,0,700,0,72.6398,1337651344
i-272,5,744,yes,15840,0,0,924,70,23954,0,144,600,0,744,0,121.393,1877581766
