instance,repetition,cost,consistent,travel_time,total_tardiness,highest_tardiness,total_waiting_time,total_extra_time,max_idle_time,workload_balance,preferences,unscheduled,missed_lunch_break,objective,violations,time,seed
i-446,2,0,yes,14382,0,0,1151,0,9516,0,0,0,0,0,0,3.75433,341483925
i-446,3,0,yes,15399,0,0,1172,0,9243,0,0,0,0,0,0,4.04089,3502619683
i-446,4,0,yes,14535,0,0,1255,0,9828,0,0,0,0,0,0,1.85514,902886956
i-446,5,0,yes,15237,0,0,1063,0,9711,0,0,0,0,0,0,3.79705,2430659285
i-446,6,0,yes,14634,0,0,1254,0,9399,0,0,0,0,0,0,2.94716,3264868972
i-100,6,22,yes,3774,0,0,2976,0,18496,0,22,0,0,22,0,18.0459,779303817
i-446,7,0,yes,14526,0,0,1098,0,10530,0,0,0,0,0,0,5.28802,3920954553
i-446,8,0,yes,14625,0,0,1229,0,11817,0,0,0,0,0,0,3.54752,2077448010
i-235,6,717,yes,1225,0,0,182,108,6156,0,9,600,0,717,0,29.2112,2481119377
i-100,7,22,yes,3417,0,0,900,0,19776,0,22,0,0,22,0,17.9673,1684327633
i-446,9,0,yes,14868,0,0,1147,0,10725,0,0,0,0,0,0,12.4139,313481539
i-100,8,22,yes,3441,0,0,2214,0,19712,0,22,0,0,22,0,18.0515,1591091131
i-235,7,809,yes,1160,0,0,322,0,6696,0,9,800,0,809,0,28.2116,545879410
i-100,9,22,yes,3732,0,0,1890,0,19712,0,22,0,0,22,0,17.9468,3564395228
i-219,0,40,yes,16384,0,0,13600,0,347,0,40,0,0,40,0,72.6078,3567952493
i-077,4,374,yes,3395,6,4,6145,84,17512,0,180,100,0,374,0,73.2511,2839221238
i-219,8,40,yes,16208,0,0,12160,0,407,0,40,0,0,40,0,74.5532,3750478738
i-235,8,687,yes,1164,0,0,252,69,5940,0,18,600,0,687,0,29.2267,1049411972
i-369,4,2127,yes,16320,95,124,1251,826,9504,0,182,900,0,2127,0,55.9287,694662921
i-235,9,753,yes,1223,0,0,172,144,6696,0,9,600,0,753,0,29.0916,3884328253
i-369,0,2151,yes,15856,96,100,1989,852,9288,0,203,900,0,2151,0,54.6217,3321001988
i-077,5,282,yes,3419,0,0,6435,84,17204,0,198,0,0,282,0,71.167,687616939
i-219,1,40,yes,16032,0,0,12180,0,299,0,40,0,0,40,0,72.3265,3322928586
i-369,5,2043,yes,16152,106,76,2403,772,13464,0,189,900,0,2043,0,55.3445,306966162
i-219,9,40,yes,15040,0,0,10260,0,377,0,40,0,0,40,0,74.6532,2990410931
i-235,0,753,yes,1116,0,0,236,141,6804,0,12,600,0,753,0,29.836,4236329898
i-369,1,2156,yes,15808,97,100,2493,732,12096,0,147,1080,0,2156,0,55.0222,3755018198
i-077,0,446,yes,3328,6,4,5590,84,18216,0,252,100,0,446,0,69.6071,2527562641
i-263,0,130,yes,53440,0,0,8470,0,4575,0,130,0,0,130,0,188.838,2647916566
i-263,8,160,yes,54008,0,0,8615,0,5040,0,160,0,0,160,0,191.363,2056840814
i-369,6,2255,yes,15800,232,196,1701,794,9360,0,133,900,0,2255,0,54.8321,2982130623
i-235,1,541,yes,1144,0,0,164,129,3348,0,12,400,0,541,0,31.6798,2303134762
i-077,6,318,yes,3410,0,0,6370,84,17336,0,234,0,0,318,0,71.7845,2774689715
i-219,2,40,yes,15856,0,0,12110,0,334,0,40,0,0,40,0,72.5047,3921202996
i-369,2,2359,yes,16248,97,64,2250,784,6696,0,154,1260,0,2359,0,54.4493,1282758835
i-235,2,747,yes,1206,0,0,166,132,4698,0,15,600,0,747,0,29.1469,3961801266
i-077,1,354,yes,3366,0,0,5790,84,19668,0,270,0,0,354,0,72.8436,947464744
i-369,7,2422,yes,17456,96,100,1125,784,6912,0,182,1260,0,2422,0,54.7331,2972940964
i-235,3,762,yes,1194,0,0,260,147,5886,0,15,600,0,762,0,29.9794,1719141766
i-077,7,346,yes,3342,6,4,5590,84,17248,0,252,0,0,346,0,71.745,64043998
i-369,3,2260,yes,16384,76,96,1890,674,7776,0,154,1260,0,2260,0,54.3931,2739726716
i-219,3,40,yes,15392,0,0,9430,0,338,0,40,0,0,40,0,73.5913,2854470308
i-235,4,612,yes,1113,0,0,226,0,6696,0,12,600,0,612,0,30.9328,4237662045
i-369,8,2421,yes,16600,117,120,1287,770,8424,0,154,1260,0,2421,0,54.7137,3343164284
i-077,2,400,yes,3375,0,0,5735,84,19228,0,216,100,0,400,0,70.9573,14627368
i-235,5,696,yes,1255,0,0,100,81,4428,0,15,600,0,696,0,29.8479,3241197683
i-077,8,282,yes,3407,0,0,6905,84,16588,0,198,0,0,282,0,71.8818,4074177691
i-219,4,40,yes,15616,0,0,12700,0,367,0,40,0,0,40,0,72.5049,2356514625
i-369,9,2187,yes,16328,167,156,1881,782,7344,0,182,900,0,2187,0,55.279,1870565343
i-263,1,250,yes,54912,0,0,8765,0,4815,0,150,100,0,250,0,194.016,1556318390
i-263,9,242,yes,54512,0,0,8495,0,3315,0,142,100,0,242,0,195.739,3708938995
i-083,0,460,yes,4560,30,40,5136,66,12075,0,324,0,0,460,0,63.0727,766127889
i-077,3,364,yes,3412,0,0,6130,84,15576,0,180,100,0,364,0,71.0461,2260780563
i-100,0,22,yes,3525,0,0,1734,0,20800,0,22,0,0,22,0,18.6309,2122920380
i-100,1,22,yes,3492,0,0,1254,0,18560,0,22,0,0,22,0,17.9958,3265594412
i-250,2,10,yes,31296,0,0,2475,0,13083,0,10,0,0,10,0,135.251,3541682040
i-077,9,310,yes,3323,6,4,6310,84,21824,0,216,0,0,310,0,71.9344,152805016
i-446,0,0,yes,15516,0,0,1188,0,10686,0,0,0,0,0,0,2.2241,2056736148
i-219,5,40,yes,15408,0,0,8020,0,358,0,40,0,0,40,0,72.7715,4280856955
i-446,1,0,yes,14490,0,0,1190,0,12324,0,0,0,0,0,0,4.74983,512555898
i-100,2,22,yes,3582,0,0,1152,0,19776,0,22,0,0,22,0,18.1696,765805464
i-134,6,900,yes,440,28,16,353,216,14127,0,0,640,0,900,0,9.33008,1331130438
i-083,1,371,yes,4302,24,24,5976,35,9520,0,288,0,0,371,0,61.9108,1830139475
i-134,7,900,yes,416,28,16,452,216,15045,0,0,640,0,900,0,9.32946,1030570485
i-100,3,22,yes,3477,0,0,1752,0,20800,0,22,0,0,22,0,18.2886,648827247
i-083,8,337,yes,4496,3,4,6272,18,10955,0,312,0,0,337,0,60.9083,2164281256
i-134,8,900,yes,416,28,16,452,216,15045,0,0,640,0,900,0,9.32299,3646663098
i-134,9,900,yes,441,28,16,460,216,14076,0,0,640,0,900,0,9.43778,1916412472
i-100,4,22,yes,3618,0,0,1230,0,25984,0,22,0,0,22,0,18.4894,2727896494
i-100,5,22,yes,3480,0,0,954,0,22848,0,22,0,0,22,0,17.7936,1318114269
i-250,0,10,yes,30978,0,0,4555,0,10976,0,10,0,0,10,0,138.173,1957173109
i-219,6,40,yes,16016,0,0,9530,0,391,0,40,0,0,40,0,72.6695,4153712559
i-083,2,550,yes,4438,90,84,5136,64,8575,0,312,0,0,550,0,61.3521,1619903287
i-083,9,381,yes,4618,45,24,4880,24,9345,0,288,0,0,381,0,60.8103,3714529435
